	Female_FB_FB_M1	Female_FB_FB_M2	Female_FB_FB_M3	Female_FB_FB_M4	Female_FB_FB_M5	Female_FB_FB_M6	Female_FB_FB_M7	Female_HFC_HFC_M1	Female_HFC_HFC_M2	Female_HFC_HFC_M3	Female_HFC_HFC_M4	Female_KC_Channel_KC_Channel_M1	Female_KC_Channel_KC_Channel_M2	Female_KC_KC_M1	Female_KC_KC_M2	Female_KC_KC_M3	Female_KC_KC_M4	Female_KC_KC_M5	Female_KC_KC_M6	Female_LC_LC_M1	Female_LC_LC_M2	Female_LC_LC_M3	Female_LC_LC_M4	Female_MEL_MEL_M1	Female_Mac-DC_Mac-DC_M1	Female_Mac-DC_Mac-DC_M2	Female_Mast_Mast_M1	Female_Mast_Mast_M2	Female_Mast_Mast_M3	Female_Mast_Mast_M4	Female_Mast_Mast_M5	Female_Mast_Mast_M6	Female_Pc-vSMC_Pc-vSMC_M1	Female_Pc-vSMC_Pc-vSMC_M2	Female_SGC_SGC_M1	Female_SGC_SGC_M2	Female_Schwann_Schwann_M1	Male_FB_FB_M1	Male_FB_FB_M2	Male_FB_FB_M3	Male_FB_FB_M4	Male_FB_FB_M5	Male_FB_FB_M6	Male_FB_FB_M7	Male_FB_FB_M8	Male_KC_KC_M1	Male_KC_KC_M2	Male_KC_KC_M3	Male_KC_KC_M4	Male_KC_KC_M5	Male_MEL_MEL_M1	Male_MEL_MEL_M2	Male_Mac-DC_Mac-DC_M1	Male_Pc-vSMC_Pc-vSMC_M1	Male_Schwann_Schwann_M1	Male_Schwann_Schwann_M2	Male_Schwann_Schwann_M3	Male_Schwann_Schwann_M4	Male_Schwann_Schwann_M5	FB	HFC	KC	KC_Channel	LC	LEC	Lymphocyte	Mac-DC	Mast	MEC	MEL	Pc-vSMC	Schwann	Sebocyte	SGC	VEC	arteriole.ECs	Basal.Ker.ADGRL3	Basal.Ker.COL17A1	capillary.ECs	cDC1	cDC2	Channel-ATPase_1	Channel-ATPase_2	Channel-ATPase_3	Channel-gap_1	Channel-gap_2	Clear.cell.CA2	Clear.cell.WFDC2	cytotoxic T cells	Dark.cell.MUCL1	EMT.ECs	Granular.Ker	helper T cells	HF-MFCs	HF-MSCs	HF-PCs	Hillock-Club.Epi	ILC3	IRS	KC.Mel	LC1	LC2	LEC1	LEC2	M1	M2	Mel_1	Mel_2	Memory B cells	Merkel	Mesenchymal.Fb	Mesenchymal.Fb.COCH	Mesenchymal.Fb.FGFBP2	Mesenchymal.Fb.INHBA	MigDC	MigLC	Monocytes	NKT cells	ORS	Papillary.Fb	Pc1	Pc2	Pc3	Plasma cells	post-capillary-venule.ECs	Pro-inflammatory.Fb	Progenitor.Mel	Proliferating.Ker	Regulatory T cells	SCs_1	SCs_2	Spinous.Ker	Spinous.Ker.ADGRL3	Sweat_gland_duct_cell	Transitional.Ker	venule.ECs	vSMC1	vSMC2
Female_SGC_SGC_M1	0.569083	-0.482313	0.637185	-0.555391	0.642333	-0.493386	0.589253	0.601786	0.144236	0.622691	0.541033	0.471071	-0.201899	0.585250	-0.562143	-0.355094	0.485900	-0.571710	-0.289669	0.272087	0.248771	0.375372	0.160004	0.470933	-0.090023	0.121508	-0.079996	0.318587	-0.012119	-0.061332	-0.124012	0.083690	-0.467091	0.295621	1.000000	-0.159841	-0.098157	-0.338662	-0.200535	-0.187333	0.028591	0.091522	0.075613	0.387211	-0.012038	0.127550	0.020944	-0.029800	0.370227	0.069785	-0.085899	0.228189	-0.221727	-0.349340	-0.248450	-0.147653	-0.156646	-0.214656	0.131992	-0.242301	0.619529	0.055302	-0.247559	0.422821	-0.111314	0.330212	-0.344815	-0.381369	0.085428	0.541159	-0.425883	-0.245393	0.174142	-0.131876	0.038635	0.197779	0.589041	-0.251373	0.152553	-0.050495	-0.168631	-0.199237	-0.178794	-0.219576	-0.043469	-0.402253	0.050666	-0.052744	-0.068823	-0.127993	-0.105905	-0.068814	0.420238	0.518178	0.474294	0.621730	0.034038	-0.160857	-0.033921	-0.013592	0.304952	0.453328	-0.012407	-0.228759	0.050153	-0.438672	0.652132	0.473146	-0.004196	-0.146657	-0.402328	0.358152	-0.110610	0.560680	0.194564	0.363926	-0.036556	0.050338	0.634270	-0.204140	-0.392578	-0.275445	-0.123876	0.099733	-0.039480	-0.168590	0.415384	0.062101	0.388272	-0.226461	-0.194043	-0.315966	0.598217	-0.165048	0.063770	-0.071916	-0.314141	-0.291694
Female_SGC_SGC_M2	-0.315061	0.257211	-0.456839	0.357992	-0.408397	0.601371	-0.434892	0.067002	0.453949	0.135724	0.261409	-0.234668	0.650367	-0.510209	0.634625	0.275486	-0.279181	0.687998	0.465217	-0.320664	0.179139	0.179228	0.044555	-0.386802	-0.104625	-0.200705	0.183557	0.058421	0.048770	0.087679	0.003935	0.109710	0.361512	-0.291711	-0.159841	1.000000	0.209415	-0.091661	-0.027615	0.162053	0.290130	0.265729	0.142739	0.040181	0.378550	-0.158914	-0.207963	0.348307	-0.508898	0.463496	0.027915	0.057805	-0.034443	0.115448	0.110938	0.104109	0.157225	-0.187872	0.194733	-0.120988	-0.485257	-0.048495	0.113595	-0.471687	-0.239813	-0.400072	-0.216714	-0.232455	-0.039390	-0.466482	0.013003	0.000809	0.039818	0.153645	0.095923	-0.070157	-0.616370	0.206285	0.035651	-0.345782	-0.001891	0.115864	0.055408	0.045927	0.089963	0.307113	0.025217	0.057063	-0.090521	0.232540	-0.001371	0.170066	-0.429160	-0.496902	-0.641882	-0.477936	0.068429	-0.117388	-0.131707	0.203998	-0.417409	-0.473846	-0.316528	-0.054127	-0.520580	-0.181464	-0.541710	-0.451865	0.022184	0.244753	-0.290395	-0.202364	0.119222	-0.424413	-0.215503	-0.430919	0.040965	-0.009375	-0.704357	0.194087	0.029910	-0.115200	0.022356	-0.304256	0.065887	-0.089443	-0.255980	-0.289231	-0.440187	-0.066686	0.110353	0.106767	-0.626474	0.069293	0.180471	0.224672	0.053301	0.039103
Female_Schwann_Schwann_M1	0.165406	0.270178	-0.081096	-0.253012	0.014133	0.392016	0.126599	0.102503	0.074161	0.153770	0.099619	-0.031508	-0.053586	0.006376	0.257187	-0.131206	-0.019616	0.144779	0.291361	-0.307317	0.155446	0.082966	0.093412	-0.009512	0.109024	-0.099611	0.267934	0.239697	-0.015326	0.208213	-0.051997	-0.152559	-0.126229	0.342385	-0.098157	0.209415	1.000000	-0.320486	-0.157441	0.323090	0.448929	0.192255	0.213275	0.283524	0.405905	-0.276383	-0.231655	0.319324	-0.024323	0.297818	-0.254830	0.338873	-0.091297	-0.191162	0.787979	0.742411	0.681091	0.092023	0.297214	0.383367	-0.094752	-0.398983	-0.185576	-0.031578	-0.021849	-0.094100	0.296174	0.286588	-0.103205	-0.249918	0.323127	0.393723	0.059188	-0.196428	-0.074059	-0.036167	-0.047867	-0.149023	0.082511	0.273718	0.255216	-0.149976	-0.096495	-0.314532	-0.255419	-0.028263	-0.274012	-0.090865	-0.227942	-0.117892	0.156457	-0.323844	-0.045699	-0.067586	-0.112502	-0.103515	-0.094551	0.318682	0.130409	-0.471199	0.041105	-0.123467	-0.078719	0.087206	-0.439090	0.278724	-0.082977	-0.250939	-0.251598	0.125030	0.313489	-0.029746	0.076350	-0.019658	-0.087486	-0.029590	0.098482	0.006492	-0.057299	0.440734	0.449464	0.442327	0.324345	-0.177361	-0.140802	0.124973	-0.386568	-0.588615	0.047146	0.398220	0.326965	-0.330421	-0.169457	-0.127538	0.019665	-0.120807	-0.033556	0.106549
Male_FB_FB_M1	-0.514352	-0.101665	-0.205398	0.613200	-0.364325	-0.254349	-0.338099	-0.606117	-0.480078	-0.602123	-0.423040	-0.314553	0.030433	-0.237569	-0.194474	0.148687	-0.082641	0.122669	-0.194095	-0.037365	-0.328324	-0.307489	-0.227632	-0.308491	0.428152	-0.168573	-0.044345	-0.300611	-0.036211	0.110186	0.180074	0.033949	0.548207	-0.497099	-0.338662	-0.091661	-0.320486	1.000000	0.782147	-0.636055	-0.887037	-0.644951	-0.491641	-0.852155	-0.647661	0.687854	0.838517	-0.826773	0.080258	-0.815424	0.735654	-0.888027	0.749647	0.863577	0.123521	-0.454878	0.013249	-0.072643	-0.076777	0.222992	-0.234325	0.030400	0.173627	-0.420157	0.692385	-0.042630	0.342760	0.204821	0.083114	-0.112597	0.314983	0.183939	-0.018554	0.170477	0.166401	-0.009041	-0.320673	-0.139801	-0.097014	0.072719	-0.112549	0.088328	0.191303	0.184994	0.016935	0.118717	0.086669	0.141279	0.394353	0.104834	-0.108800	0.329192	-0.211842	-0.218536	-0.191739	-0.183203	0.243654	-0.042193	0.068773	0.263646	-0.401166	-0.116851	0.569855	0.644712	0.092627	0.560627	-0.252072	-0.121731	0.427347	0.449806	0.518265	-0.254871	0.138563	-0.258978	-0.040866	-0.391663	0.313264	0.190692	-0.117803	-0.103945	-0.073768	0.119828	-0.118483	0.369189	0.404659	0.206500	-0.002586	0.310494	-0.134795	0.210049	0.191463	0.194864	-0.287860	0.130131	-0.274046	0.006280	0.404570	0.568925
Male_FB_FB_M2	-0.291709	-0.126988	-0.203179	0.306684	-0.376944	0.035659	-0.168037	-0.207531	-0.198036	-0.344754	-0.286067	0.050258	0.170878	-0.110806	-0.172437	0.014881	0.106558	0.138494	-0.142677	0.070082	-0.051773	-0.004403	0.041980	-0.324782	0.286821	-0.198069	-0.070355	-0.237564	-0.036827	0.116737	0.085928	0.250616	0.396468	-0.257394	-0.200535	-0.027615	-0.157441	0.782147	1.000000	-0.617485	-0.639424	-0.799539	-0.604163	-0.722137	-0.560870	0.760121	0.902693	-0.777936	0.171704	-0.733547	0.856182	-0.860222	0.701120	0.651243	0.158645	-0.396487	0.099194	0.004287	0.077084	0.077403	-0.150501	0.235233	-0.302071	-0.301903	0.659414	0.021948	0.254692	0.068587	-0.226318	-0.034906	0.218773	0.278918	0.080269	-0.298422	0.033299	-0.092740	-0.234460	0.099797	-0.037332	0.050751	-0.034759	-0.261200	-0.287236	-0.044122	-0.188815	0.032408	-0.298848	-0.298793	0.410340	-0.287385	-0.292253	0.336264	-0.149072	-0.055302	-0.160683	-0.121778	0.227294	-0.035395	-0.196761	0.322847	-0.336272	-0.125804	0.545049	0.609821	0.045825	0.379754	-0.245160	-0.018040	0.437002	0.723265	0.407131	-0.195685	-0.223226	-0.257487	-0.040923	-0.310747	0.335858	0.076983	-0.146098	0.157137	-0.005633	0.093769	0.001275	0.345636	0.219040	-0.097851	-0.089608	0.422027	-0.029899	0.254278	0.295885	0.333484	-0.253069	-0.167634	-0.146765	-0.110552	0.115282	0.478622
Male_FB_FB_M3	0.100829	0.742299	-0.208339	-0.131190	0.008590	0.442447	0.023572	0.032421	0.441526	0.100776	0.216925	-0.054610	0.110765	-0.142033	0.471676	0.048921	-0.173182	0.170689	0.506393	-0.134037	0.252698	0.023391	0.300839	0.025991	-0.136348	0.365137	0.393591	0.205271	0.172368	0.036589	-0.157492	-0.124703	-0.237007	0.310780	-0.187333	0.162053	0.323090	-0.636055	-0.617485	1.000000	0.748293	0.620901	0.655190	0.541050	0.565232	-0.549717	-0.732329	0.797861	-0.335292	0.702441	-0.576986	0.733015	-0.530111	-0.533672	0.197823	0.693843	-0.069547	-0.027048	0.005129	0.108075	-0.345917	-0.153058	0.035805	0.126546	-0.377195	-0.234927	-0.064711	0.008604	-0.245086	-0.073895	-0.004341	0.058909	-0.050879	-0.099223	-0.080107	-0.065095	-0.084924	0.119509	0.027953	-0.023496	0.278366	-0.100173	0.138521	-0.201717	0.014762	0.114078	-0.059293	0.088951	-0.362338	-0.121794	0.367310	-0.287157	-0.141464	-0.377751	-0.394373	-0.462187	-0.177423	0.261422	0.279056	-0.260013	0.003703	-0.147755	-0.234276	-0.481567	-0.118292	-0.245659	-0.086866	-0.008204	-0.470210	0.001454	-0.241694	-0.024005	0.069072	-0.123498	-0.164133	0.172335	-0.159681	-0.176279	-0.201337	0.308876	0.422459	0.159569	-0.067607	-0.343850	-0.128539	0.146558	0.161589	-0.356421	-0.208808	0.100256	-0.082193	-0.172426	-0.050473	-0.088757	0.112323	-0.137765	-0.147498	-0.387206
Male_FB_FB_M4	0.424482	0.360965	-0.003866	-0.507205	0.211123	0.577819	0.286687	0.409103	0.591721	0.436062	0.373803	0.182799	0.000218	0.095405	0.403074	-0.209916	0.083677	0.072570	0.487669	-0.126450	0.492678	0.392622	0.405167	0.184229	-0.353221	0.105961	0.203540	0.321752	0.092908	-0.035453	-0.204172	-0.016799	-0.473350	0.544531	0.028591	0.290130	0.448929	-0.887037	-0.639424	0.748293	1.000000	0.573146	0.557620	0.805085	0.775882	-0.601082	-0.777250	0.856308	-0.188196	0.851863	-0.616451	0.861079	-0.687111	-0.781471	0.039429	0.580397	0.095603	0.011564	0.102355	-0.132810	-0.100122	-0.047965	-0.218825	0.267607	-0.605778	-0.040437	-0.226732	-0.139910	-0.166349	-0.015636	-0.175303	-0.086300	0.039138	-0.262091	-0.244782	-0.099046	0.078970	0.176764	0.064034	-0.059965	0.228128	-0.149872	-0.164815	-0.372250	-0.161810	-0.103858	-0.295305	-0.165426	-0.290308	-0.182772	0.154046	-0.258181	0.067735	-0.181716	-0.469052	-0.170418	-0.184726	0.214785	0.005390	-0.263787	0.222427	-0.037995	-0.511572	-0.542205	-0.121917	-0.457569	-0.002761	0.046255	-0.518865	-0.155655	-0.394840	0.115750	-0.238819	0.098022	0.019120	0.249837	-0.273464	-0.155690	-0.262914	0.327413	0.266526	0.054114	0.202297	-0.401090	-0.428235	-0.210023	-0.013287	-0.368742	-0.007153	-0.130919	-0.053940	-0.109517	0.062546	-0.232786	0.185436	-0.150680	-0.407757	-0.514584
Male_FB_FB_M5	0.112908	0.296253	0.133025	0.018278	0.265952	0.061046	-0.057401	0.105263	0.257980	0.287963	0.254635	-0.282029	0.132398	-0.069380	0.314670	0.251667	-0.294191	0.095388	0.145605	-0.040114	-0.040755	-0.101520	-0.097581	0.132709	-0.305418	0.302836	0.231085	0.129527	0.120130	0.058896	-0.111513	-0.332355	-0.083090	0.065110	0.091522	0.265729	0.192255	-0.644951	-0.799539	0.620901	0.573146	1.000000	0.589021	0.580526	0.401478	-0.734252	-0.809544	0.802889	-0.275639	0.712701	-0.780251	0.757876	-0.580770	-0.470729	0.002631	0.445298	-0.103423	0.006524	0.047412	-0.048505	-0.123927	-0.380656	0.522840	0.055620	-0.591883	-0.143898	-0.320395	-0.097108	0.332291	-0.191610	-0.113511	-0.179402	0.057389	0.448168	0.003670	-0.002244	0.023857	-0.108840	0.010690	-0.157360	-0.033033	0.446270	0.411005	0.267225	0.361475	0.267199	0.393172	0.492218	-0.331573	0.422362	0.382442	-0.360977	-0.030818	-0.170087	-0.240769	-0.260902	-0.280422	-0.026893	-0.002847	-0.333733	0.133141	-0.040540	-0.402364	-0.695657	-0.082084	-0.414078	0.025423	-0.194152	-0.473198	-0.201915	-0.453558	0.032382	0.439519	0.078769	0.096779	0.091539	-0.278039	0.003421	-0.135363	-0.122500	0.001299	-0.073497	-0.012718	-0.357754	-0.157042	0.131950	-0.085996	-0.528177	-0.109096	-0.200871	-0.163592	-0.442693	0.057245	0.345954	0.026074	0.197096	0.002890	-0.309628
Male_FB_FB_M6	0.335768	0.474063	0.036046	-0.168909	0.310553	0.199901	0.363352	0.054537	0.354937	0.197768	0.206863	-0.036447	-0.278082	0.151586	0.204755	-0.244932	0.104282	-0.148035	0.540316	-0.145792	0.337009	0.152003	0.338452	0.387885	0.004343	0.322423	0.533608	0.298517	0.406513	0.293508	-0.123069	0.027181	-0.341265	0.457782	0.075613	0.142739	0.213275	-0.491641	-0.604163	0.655190	0.557620	0.589021	1.000000	0.667100	0.726087	-0.384845	-0.591528	0.648114	-0.045760	0.615469	-0.626028	0.678831	-0.442755	-0.428992	0.149855	0.455097	-0.115462	-0.047501	0.263536	0.154356	-0.135389	-0.378878	-0.052805	0.110163	-0.373035	0.177053	0.020013	0.121968	-0.014424	-0.117189	0.115524	-0.075684	0.056187	-0.007188	-0.003638	0.057664	0.093044	-0.255331	0.145897	0.168331	0.247845	-0.101531	0.122964	-0.300823	-0.245406	-0.131125	-0.003079	0.074783	-0.094032	-0.006281	0.289322	-0.337993	0.258362	-0.256511	-0.354970	-0.152331	-0.188612	0.096124	-0.108352	-0.363875	0.067143	0.099788	-0.247496	-0.449533	-0.019739	-0.181240	0.009700	-0.085348	-0.455733	-0.169775	-0.145354	0.148100	-0.007937	0.155401	0.242142	0.073624	-0.170559	-0.067401	-0.125755	0.071544	0.324390	0.267363	0.091229	-0.316412	-0.051493	0.306849	0.288116	-0.508045	0.106491	-0.103582	-0.058208	-0.386020	0.042779	-0.094799	0.012759	-0.194499	0.005351	-0.248631
Male_FB_FB_M7	0.772966	0.039876	0.443021	-0.681236	0.607966	0.165831	0.598527	0.712472	0.636005	0.698406	0.570087	0.466451	-0.377000	0.486768	0.013543	-0.464489	0.394695	-0.351339	0.367414	-0.082103	0.514104	0.449486	0.440913	0.589557	-0.281487	0.131405	0.109974	0.399368	0.064070	-0.076943	-0.303158	0.090916	-0.703061	0.681302	0.387211	0.040181	0.283524	-0.852155	-0.722137	0.541050	0.805085	0.580526	0.667100	1.000000	0.775541	-0.446187	-0.692201	0.732850	0.158847	0.754517	-0.673869	0.842586	-0.757713	-0.816750	-0.114591	0.390944	0.024238	0.067383	0.176283	-0.164412	0.393433	-0.062431	-0.273730	0.447471	-0.641854	0.260653	-0.264557	-0.158689	-0.039622	0.173377	-0.226930	-0.201582	0.080313	-0.223429	-0.235584	-0.024420	0.462650	-0.098568	0.047853	0.028010	0.111798	-0.179886	-0.169296	-0.387613	-0.232742	-0.417804	-0.182583	-0.128330	-0.226410	-0.172216	0.161906	-0.226113	0.403768	0.349866	0.173022	0.288815	-0.234605	0.068585	-0.225640	-0.192175	0.389863	0.338023	-0.525437	-0.602555	0.024759	-0.491991	0.290684	0.160114	-0.356189	-0.348394	-0.426182	0.469799	-0.218245	0.459541	0.229092	0.377442	-0.294831	-0.085306	0.140107	0.012657	0.132537	0.020492	0.165278	-0.362989	-0.393081	-0.132433	0.164575	-0.301162	0.309162	-0.241248	-0.166467	-0.195323	0.394754	-0.241691	0.160567	-0.208393	-0.344778	-0.538971
Male_FB_FB_M8	0.423776	0.339258	-0.053985	-0.438089	0.176893	0.548217	0.405454	0.209971	0.520401	0.265347	0.299164	0.192952	-0.243352	0.165270	0.323644	-0.447098	0.257875	-0.005913	0.660757	-0.308217	0.548657	0.429661	0.439928	0.326506	-0.062826	0.033570	0.277385	0.398911	0.146115	0.069786	-0.164613	0.102808	-0.521067	0.604816	-0.012038	0.378550	0.405905	-0.647661	-0.560870	0.565232	0.775882	0.401478	0.726087	0.775541	1.000000	-0.378398	-0.586041	0.655423	-0.054272	0.748154	-0.492015	0.668621	-0.547561	-0.616205	0.066410	0.380506	0.195005	-0.005946	0.156625	0.061588	-0.256429	-0.148415	-0.328317	0.157063	-0.478166	0.100407	0.013922	0.087733	-0.128872	-0.061207	0.014865	-0.066550	-0.018633	-0.170817	-0.092138	0.001956	0.019413	-0.124424	0.178232	0.105540	0.339412	-0.212105	-0.145892	-0.504252	-0.469271	-0.393786	-0.225250	-0.125621	-0.116991	-0.096418	0.170001	-0.153765	0.164798	-0.389738	-0.510260	-0.241978	-0.056919	0.223277	-0.123395	-0.120459	0.140627	-0.047782	-0.459001	-0.334158	-0.099503	-0.218047	-0.095626	-0.023465	-0.438424	-0.172222	-0.154649	0.100166	-0.228483	0.088154	0.071801	0.135025	-0.220333	-0.119921	-0.425956	0.280290	0.375812	0.180721	0.268669	-0.465017	-0.210666	0.055120	0.179960	-0.438896	0.109631	-0.160225	0.055609	-0.103542	-0.003095	-0.214963	0.141940	-0.197975	-0.211220	-0.363622
Male_KC_KC_M1	0.043326	-0.238251	0.101741	0.039469	0.009160	-0.193306	0.202541	-0.021472	-0.022094	-0.127996	0.051583	0.529554	-0.279831	0.254230	-0.471786	-0.392563	0.571865	-0.263814	0.067067	-0.016664	0.237021	0.245191	0.293427	0.076741	0.344785	-0.113963	0.008732	0.074402	-0.024339	0.035762	-0.035042	0.359644	0.038188	0.015090	0.127550	-0.158914	-0.276383	0.687854	0.760121	-0.549717	-0.601082	-0.734252	-0.384845	-0.446187	-0.378398	1.000000	0.859530	-0.737806	0.369183	-0.624577	0.805973	-0.725896	0.458523	0.486231	-0.020458	-0.430581	0.058456	-0.030617	-0.016566	-0.025516	0.184541	0.376192	-0.417351	0.009804	0.564186	0.161798	0.155300	-0.108779	-0.294012	0.265976	0.054279	0.076628	-0.007774	-0.411959	-0.074196	-0.140919	0.056398	-0.102538	-0.132685	0.073855	-0.063350	-0.406552	-0.221331	-0.337573	-0.376776	-0.394865	-0.368616	-0.290263	0.338439	-0.397732	-0.224864	0.554989	0.045361	0.231259	0.250751	0.133069	0.223897	-0.116078	0.160660	0.372306	-0.143341	0.170780	0.514607	0.439486	0.270030	0.205404	0.070792	0.226351	0.561259	0.275913	0.216276	-0.001794	-0.299495	0.061005	0.017914	-0.021899	0.303388	0.252407	0.257788	-0.042809	-0.069488	0.010175	-0.171710	0.379570	0.213549	-0.079541	0.084844	0.544117	0.097325	0.095384	0.056859	0.391474	0.094763	-0.321746	-0.048182	-0.364395	-0.009023	0.303163
Male_KC_KC_M2	-0.181185	-0.312045	0.002283	0.205768	-0.177490	-0.242215	0.000824	-0.135846	-0.330436	-0.302093	-0.309927	0.220719	-0.127165	0.128283	-0.394774	-0.143586	0.283962	-0.104776	-0.213988	0.064764	-0.070319	-0.001724	0.015226	-0.126794	0.391243	-0.197676	-0.139738	-0.143745	-0.065325	0.076426	0.125551	0.241394	0.260839	-0.177884	0.020944	-0.207963	-0.231655	0.838517	0.902693	-0.732329	-0.777250	-0.809544	-0.591528	-0.692201	-0.586041	0.859530	1.000000	-0.863797	0.402990	-0.818369	0.850333	-0.889514	0.685206	0.661955	0.081855	-0.487850	0.144206	0.011165	0.028701	0.105201	0.143480	0.217172	-0.332120	-0.158286	0.699114	0.146230	0.309699	0.072730	-0.133139	0.105918	0.192299	0.202061	0.123580	-0.231046	0.036090	-0.038638	-0.029378	-0.097787	-0.073338	0.128284	-0.053863	-0.280654	-0.235790	-0.112714	-0.296248	-0.261007	-0.202249	-0.224235	0.426290	-0.243170	-0.240101	0.350617	-0.007437	0.182872	0.281828	0.228199	0.310819	-0.105432	0.012850	0.274607	-0.206410	0.076275	0.590621	0.624781	0.137568	0.442406	-0.031891	0.095790	0.490687	0.495393	0.435531	-0.091987	-0.140208	-0.052900	0.028460	-0.170650	0.320535	0.149467	0.273967	-0.023622	-0.103913	0.079419	-0.056715	0.462131	0.255980	-0.008669	0.010049	0.425576	0.112821	0.215850	0.192674	0.267026	-0.042220	-0.152521	-0.185473	-0.170068	0.137138	0.511921
Male_KC_KC_M3	0.249308	0.414150	0.013056	-0.225565	0.214956	0.393977	0.082201	0.237487	0.518273	0.325333	0.270354	-0.064363	0.185350	-0.028869	0.551325	0.095640	-0.164737	0.153467	0.399462	-0.076547	0.234062	0.127279	0.193664	0.169977	-0.351657	0.228584	0.221115	0.178520	0.141986	-0.016284	-0.147819	-0.100031	-0.274040	0.314502	-0.029800	0.348307	0.319324	-0.826773	-0.777936	0.797861	0.856308	0.802889	0.648114	0.732850	0.655423	-0.737806	-0.863797	1.000000	-0.275589	0.866129	-0.788020	0.883942	-0.673607	-0.671957	0.007734	0.578196	-0.006613	0.048009	0.091777	-0.079880	-0.154978	-0.174048	0.103052	0.154416	-0.683570	-0.089135	-0.266874	-0.140787	0.134127	-0.156840	-0.114141	-0.067818	-0.029641	0.081938	-0.142559	-0.076566	0.008592	0.196228	0.004821	-0.099894	0.173434	0.103457	0.066182	-0.014091	0.083670	0.166483	0.079496	0.113090	-0.303492	0.103514	0.332858	-0.344360	0.020249	-0.236451	-0.384956	-0.230863	-0.191604	0.095450	0.077429	-0.336176	0.154730	-0.053989	-0.533164	-0.686856	-0.201844	-0.465794	-0.050269	-0.114271	-0.500693	-0.280714	-0.475002	0.097123	0.117622	0.087666	0.089263	0.154665	-0.362446	-0.112125	-0.256296	0.137845	0.213199	0.014093	0.087944	-0.333463	-0.313587	-0.010362	-0.131517	-0.462436	-0.057219	-0.079426	-0.098745	-0.275312	-0.028240	0.035596	0.129382	0.020070	-0.166684	-0.442316
Male_KC_KC_M4	0.575959	-0.434281	0.584705	-0.435730	0.594449	-0.449546	0.647217	0.348392	-0.015604	0.221317	-0.006959	0.475452	-0.545265	0.879480	-0.628845	-0.475574	0.590376	-0.728161	-0.226097	0.165570	0.079716	0.106572	0.174849	0.601564	0.283088	0.095373	-0.151995	0.128440	0.045148	0.004917	0.083039	0.176965	-0.353531	0.412878	0.370227	-0.508898	-0.024323	0.080258	0.171704	-0.335292	-0.188196	-0.275639	-0.045760	0.158847	-0.054272	0.369183	0.402990	-0.275589	1.000000	-0.341774	0.157752	-0.129515	0.100982	-0.004732	-0.023940	-0.140706	0.127770	0.241822	0.236112	0.196761	0.598045	-0.017832	-0.318134	0.371997	0.146276	0.584764	0.298957	0.104820	0.130394	0.368066	0.099907	0.130277	0.286450	-0.173409	-0.156974	0.035103	0.760575	-0.391785	-0.021761	0.428046	0.155090	-0.206856	-0.238674	-0.164833	-0.336676	-0.406170	-0.093381	-0.178244	0.261233	-0.188108	0.006431	-0.055965	0.578293	0.465318	0.438086	0.593777	0.152523	-0.028321	0.077805	-0.023375	0.287287	0.634024	0.153980	0.078167	0.351364	0.189403	0.504096	0.298125	0.122399	0.020675	0.235590	0.480195	-0.186011	0.557779	0.331014	0.283174	-0.004681	0.072349	0.539370	-0.024050	-0.000918	0.151631	0.142377	0.347877	-0.147157	0.088905	0.362267	0.086210	0.647023	0.127393	0.074983	-0.204093	0.616949	-0.105344	-0.243603	-0.286049	-0.031087	0.157829
Male_KC_KC_M5	0.276547	0.334125	-0.032722	-0.303852	0.169203	0.459324	0.141151	0.322825	0.546491	0.396629	0.394950	0.097187	0.158040	-0.036309	0.430589	-0.070150	-0.004221	0.190458	0.466134	-0.138845	0.401552	0.371004	0.259656	0.170758	-0.334379	0.164097	0.250631	0.356492	0.155806	0.048249	-0.154315	0.010289	-0.333939	0.367441	0.069785	0.463496	0.297818	-0.815424	-0.733547	0.702441	0.851863	0.712701	0.615469	0.754517	0.748154	-0.624577	-0.818369	0.866129	-0.341774	1.000000	-0.653245	0.831064	-0.669090	-0.686374	-0.070968	0.435206	0.038693	-0.020114	0.074171	-0.233480	-0.147361	-0.079862	0.041354	0.175643	-0.680407	-0.144352	-0.367295	-0.240404	-0.038157	-0.122065	-0.245931	-0.171096	-0.051245	0.066290	-0.098494	-0.058562	-0.025138	0.071975	0.059679	-0.193603	0.120920	0.054710	0.061945	-0.177053	0.070499	-0.000589	0.009103	0.111814	-0.367120	0.115081	0.264211	-0.168366	-0.020937	-0.171521	-0.320660	-0.291726	-0.170640	0.032813	-0.118691	-0.243425	0.185599	-0.109315	-0.564936	-0.624998	-0.186463	-0.561865	-0.059955	-0.086884	-0.488543	-0.179737	-0.560729	0.044725	-0.018670	0.038519	-0.039347	0.169462	-0.339450	-0.127543	-0.309773	0.095258	0.157383	-0.117206	0.092463	-0.410289	-0.273738	-0.155782	-0.080049	-0.395661	-0.075543	-0.222782	-0.127545	-0.124775	-0.038812	-0.029098	0.293726	0.047128	-0.334185	-0.513833
