Mod	NE1	NE12	NE13	NE14	NE15	NE16	NE17	NE19	NE2	NE25	NE3	NE4	NE42	NE5	NE6	NE7	NE9	NF12	NF18	NF2	NF35	NF39	NF4	NF46	NF50	NF52	NF53	NF54	NF6	NF61	NF65	NP1	NP13	NP15	NP16	NP2	NP6	NP7	NP8	NP9	NT1	NT10	NT11	NT13	NT16	NT17	NT18	NT2	NT21	NT22	NT23	NT24	NT25	NT27	NT5	NT6	NT8	PS1	PS10	PS11	PS12	PS13	PS2	PS3	PS4	PS5	PS6	PS7	PS8	PS9
Female_Mac-DC_Mac-DC_M2	4.05944	4.65783	4.16883	5.79131	3.83632	4.38282	5.11077	5.0519	5.25423	5.03691	5.39429	3.72302	4.98313	5.79237	5.78567	5.34582	5.57745	6.93652	3.75682	5.9638	4.17308	4.82544	4.89123	4.14875	6.42801	6.28185	4.97483	4.55923	3.67248	6.05291	5.33862	5.59187	4.64921	4.64045	5.28374	5.64202	5.36996	5.69666	6.74289	6.46302	4.9297	4.97293	5.0253	5.07478	4.43087	4.54539	5.04063	4.53476	5.51017	4.66598	2.96273	3.22087	5.01256	5.25025	5.5048	5.29823	5.65892	4.3189	4.33966	5.30775	5.20981	4.97817	5.61974	4.08858	4.20682	4.12935	3.51391	3.85249	3.82303	4.2978
Female_Mast_Mast_M1	4.78497	4.78654	4.78261	5.17915	4.48167	4.91755	4.89937	5.32547	5.31716	4.99231	4.84661	4.97529	4.72377	4.85807	5.27528	4.97314	4.79252	4.59005	4.56867	5.05274	4.39756	4.74808	4.98681	3.95905	4.64595	4.56272	4.43113	5.14461	4.66018	4.11599	4.7009	5.01232	4.9223	4.3402	4.99395	4.4598	4.53199	4.38139	4.60991	4.4713	4.47605	4.97261	4.85862	5.20171	4.95742	4.6963	5.29947	4.43672	5.0078	4.79869	3.82952	4.21768	4.97865	5.15555	5.02807	4.81318	4.5927	4.19308	5.17255	4.98397	5.01832	4.85801	4.96269	4.55346	4.68853	4.59518	4.24295	4.55286	4.35065	5.01355
Female_Mast_Mast_M2	4.93199	5.03894	4.93307	5.31478	4.72867	5.10734	4.79057	5.24763	5.50989	4.93107	5.03667	5.01049	4.64478	4.75491	5.15474	4.99873	4.76622	4.96422	5.22355	5.14077	4.99648	5.03439	4.98166	5.6658	5.10825	4.5404	5.00049	5.28572	4.69761	4.66494	4.9525	4.43258	4.53129	4.43901	4.33749	4.50909	4.26472	4.38741	4.5144	4.83741	4.9299	5.1438	5.15093	5.29031	5.41836	5.14569	5.37136	4.69476	5.03206	4.99594	4.39377	5.34864	4.98213	4.93395	5.20564	5.11782	4.12603	4.82673	4.89141	4.86805	4.99742	4.82806	4.74078	5.18944	4.55062	4.81945	4.8354	4.22014	4.42196	4.75762
Female_Mast_Mast_M3	5.08847	4.74131	5.04009	4.896	5.05121	5.06038	4.9493	5.27998	5.18154	5.29996	4.75996	4.67791	4.7811	4.77729	4.77518	4.82893	5.0904	5.18975	5.03499	5.18279	5.04591	5.23632	4.80146	3.21911	4.78193	4.89068	4.9385	5.35633	4.22447	4.37897	5.07784	5.2748	4.64037	4.74678	4.87514	4.78747	4.83114	4.64711	4.71868	4.80086	4.85716	5.27098	4.96635	5.13237	4.71657	5.24817	5.68001	4.85625	5.11999	4.9571	3.36115	4.37589	5.28595	5.23226	4.84938	4.96761	4.40903	3.72662	5.08236	5.04877	5.30821	5.00144	5.04944	4.92404	4.8693	4.66099	4.18929	5.08168	4.59026	4.93134
Female_Mast_Mast_M4	4.69893	4.77576	4.66258	4.30546	4.24722	4.76529	4.72366	5.33468	4.81767	4.93789	4.45073	4.60891	4.51	4.48601	4.731	4.50396	4.88029	4.56048	4.68897	4.94757	4.37449	4.73354	4.76434	3.30091	4.32874	4.65835	4.7128	5.09659	4.95521	4.38587	4.40477	5.07774	4.90397	4.75638	4.83309	4.54669	4.15063	4.4614	4.80426	4.48628	4.53419	4.72826	4.62978	4.64935	4.95738	4.61539	5.25161	4.34508	4.82293	4.54462	3.54324	4.28674	4.9142	4.66257	4.76668	4.67399	4.09603	4.42052	4.84742	4.85297	5.36113	4.97036	4.77274	4.64616	4.84446	4.56102	4.77348	4.30057	4.3816	4.69653
Female_Mast_Mast_M5	4.80573	4.38476	4.68813	4.75073	4.96329	4.49855	4.73226	4.52475	4.85096	4.61483	4.84343	4.67982	4.65166	4.52749	4.51035	4.73416	4.89356	4.78411	5.13222	4.8732	5.23285	4.73767	4.61	3.41294	4.45892	4.53148	4.67139	4.82327	4.32217	4.56938	4.72331	4.43085	4.76736	4.86908	4.76543	4.94788	4.9397	4.77895	4.85173	4.86778	4.88695	4.71157	4.73915	4.8566	4.78223	4.83529	4.52173	4.90485	4.5195	5.04665	4.49509	4.98742	4.79543	4.47699	4.60332	4.75507	3.47962	4.36302	4.7813	4.75599	4.67576	4.65791	4.73415	4.73531	4.97641	4.92911	4.98073	4.735	4.92642	4.79473
Female_Mast_Mast_M6	5.54282	5.50688	5.49714	4.97051	5.34536	5.49039	4.71282	5.42686	5.0806	5.55354	5.39113	5.44577	5.8512	5.28131	5.44315	5.53389	5.55443	5.6485	5.43678	5.37719	5.49945	5.50098	5.06651	4.97316	5.58546	5.75508	5.79803	5.20608	5.04692	5.39883	5.359	4.91378	4.80136	4.99577	5.4655	5.34052	5.63575	5.19516	5.22276	4.82736	5.68768	5.33479	5.10333	5.0637	5.37319	5.67776	6.10813	5.61739	5.40181	5.29732	5.39817	5.07668	5.40333	5.71511	5.85649	5.26787	5.53042	5.75791	5.01408	5.31391	5.76696	5.95673	5.25633	5.43038	4.93453	5.43536	5.79337	5.68806	5.82086	5.62333
Female_Pc-vSMC_Pc-vSMC_M1	5.57913	5.62849	5.80146	5.81165	5.64811	5.40239	5.83109	5.62252	5.65333	5.60788	5.749	5.7213	5.54752	6.34364	6.01959	5.90695	5.51782	4.86805	5.25798	4.94629	5.17178	4.91846	5.25248	4.93931	4.83118	5.11036	4.84146	4.76551	4.87545	5.03561	4.99779	6.16745	6.32864	6.87952	6.83492	6.97308	6.11073	6.81681	6.30617	6.75273	5.3703	5.18556	5.14835	5.18821	4.86353	5.14874	5.43021	6.06102	5.50117	4.99931	4.78378	5.12774	5.08918	5.31098	4.97719	5.42563	4.61523	5.85565	6.05649	6.18518	6.02595	6.21411	6.33968	5.92629	5.80673	6.33658	6.25795	5.88581	6.0271	6.2011
Female_Pc-vSMC_Pc-vSMC_M2	6.95913	7.05326	7.03947	6.59665	6.04273	7.35541	5.16182	6.91457	7.13381	7.31564	7.10162	6.08478	7.3499	6.43777	6.8923	6.77972	6.88949	6.71069	7.34968	7.82056	6.9247	6.93559	7.82937	7.48166	7.51233	7.29086	7.39675	7.19202	7.59296	7.60897	8.10001	5.50479	4.96145	4.7775	5.65777	5.2368	6.24407	5.39876	5.81908	5.08802	7.18125	7.44916	7.31728	7.27784	7.28238	7.3976	7.17756	4.9938	7.48292	7.502	7.66954	7.14624	7.70279	6.00139	7.78513	7.22369	7.58556	4.74557	6.64407	6.46489	6.55667	6.81387	6.20011	5.88084	6.71903	6.21193	5.79357	6.33472	5.93271	6.3996
Female_SGC_SGC_M1	6.0706	6.74664	6.23401	6.54837	6.36219	5.97393	6.80126	6.84837	7.0716	5.90917	6.51798	6.39647	6.88368	6.60158	6.2351	6.68254	6.20346	8.19474	7.8276	7.43109	7.81957	7.76063	7.32061	7.63176	7.29967	7.80833	6.47613	8.31033	7.41488	7.9949	7.73778	0	6.17366	6.57201	0	6.43176	5.99454	6.81665	6.53988	6.17385	6.30728	6.24129	6.6859	7.55384	0	0	6.55176	0	6.53557	0	6.42811	0	0	6.73438	0	6.69688	0	6.70508	7.06568	7.23815	7.42556	6.51873	4.91614	0	3.99829	6.90616	0	0	0	0
Female_SGC_SGC_M2	5.95224	6.09374	6.72847	6.1312	6.92736	6.58368	6.44603	6.18335	6.32183	6.80246	6.4383	6.40176	5.99781	5.99811	6.63504	6.11091	6.39761	4.75997	5.55857	5.37968	5.61283	4.92953	5.65244	5.31451	4.83634	4.65134	4.87214	4.84113	5.42305	5.3239	4.31515	0	6.18518	6.40938	0	5.97593	6.20976	6.06081	5.48534	6.37785	6.50429	6.8693	5.86485	5.30352	0	0	7.18363	0	6.19499	0	6.17328	0	0	6.29875	0	6.21952	0	6.70986	6.52767	6.41337	6.87473	5.40319	4.32319	0	3.61436	6.73969	0	0	0	0
Female_Schwann_Schwann_M1	5.44938	4.85988	5.29013	5.24705	5.07097	5.30184	5.2455	5.3067	5.35456	5.30504	5.22379	5.08391	5.03362	5.09293	5.22355	5.19355	5.27452	4.22228	5.06017	5.04539	4.56419	5.02058	4.95471	5.08512	4.63964	4.78453	4.84247	5.52572	5.26233	5.11982	4.94516	4.59722	4.86682	4.64813	5.01051	4.96686	5.07092	4.76605	4.99451	4.70159	4.61861	5.22448	5.46206	4.99679	5.32423	4.93998	5.20115	4.55327	5.12824	4.95492	4.74463	5.41367	5.01034	3.90738	5.38511	5.24124	5.38867	0	5.56456	5.1639	5.20176	5.31368	4.00539	3.56975	5.68159	5.25419	5.26838	4.11987	4.4483	5.1298
Male_FB_FB_M1	7.2705	7.12526	7.10757	7.42115	7.11517	7.16569	8.04936	7.63822	7.66955	7.41193	7.51027	7.37187	7.34788	7.82344	7.765	7.52431	7.23827	7.59958	7.48242	7.18245	7.20775	7.32885	7.67825	7.15052	7.30344	7.56522	7.25648	7.17614	7.13852	7.2907	7.18913	7.8487	8.16905	7.71889	7.40336	7.96723	7.11405	7.82458	7.19394	7.74163	7.27509	7.30165	7.286	7.26575	6.32254	7.06809	7.1936	7.63076	7.32875	7.63371	7.06077	6.67814	7.38583	7.71591	7.06443	7.04932	6.86853	8.88368	8.6465	8.81873	7.93942	8.56029	9.4406	9.50372	9.18496	9.149	9.33544	9.29294	9.29847	9.06354
