Mod	NE1	NE12	NE13	NE14	NE15	NE16	NE17	NE19	NE2	NE25	NE3	NE4	NE42	NE5	NE6	NE7	NE9	NF12	NF18	NF2	NF35	NF39	NF4	NF46	NF50	NF52	NF53	NF54	NF6	NF61	NF65	NP1	NP13	NP15	NP16	NP2	NP6	NP7	NP8	NP9	NT1	NT10	NT11	NT13	NT16	NT17	NT18	NT2	NT21	NT22	NT23	NT24	NT25	NT27	NT5	NT6	NT8	PS1	PS10	PS11	PS12	PS13	PS2	PS3	PS4	PS5	PS6	PS7	PS8	PS9
Male_KC_KC_M4	7.01177	6.68034	6.69221	7.90536	7.58289	7.74543	6.70354	7.38627	6.76223	6.83193	7.1264	6.56282	7.86043	7.22483	6.81503	7.46634	7.15458	8.17936	8.40973	8.37102	8.50242	8.01064	8.01118	7.87798	8.30459	8.43909	8.13062	7.58423	7.93405	8.30808	8.12679	6.81371	6.78525	6.91499	7.08307	7.41211	6.79834	7.23854	6.9622	7.10412	8.08806	7.65692	7.09071	7.02434	7.23837	7.2932	7.29356	6.73034	7.21283	7.60274	7.23908	6.71741	7.80504	6.61067	7.59998	8.05442	6.98084	7.3159	7.40322	8.03589	8.47103	7.42827	7.5114	7.48382	8.46983	7.2756	7.48656	7.33587	7.71534	8.1025
Male_KC_KC_M5	7.79152	8.01947	7.86375	7.64786	7.85035	7.67277	7.4535	7.81147	7.81623	8.22548	7.94565	7.79112	7.86433	7.8171	8.37443	7.77159	7.87878	7.23438	7.50287	7.20289	7.00902	7.20256	7.39353	7.23622	7.40188	7.2508	7.67294	7.62244	7.85282	7.03487	7.18818	7.42477	7.16612	7.15563	7.40934	7.38286	7.22945	7.4769	7.67008	7.43556	7.95967	7.9962	7.8365	7.58093	7.7874	8.04159	8.74451	7.25658	8.10275	7.62113	7.52515	8.54341	7.76448	7.52566	7.82043	7.87606	7.75305	6.60806	6.48019	6.62394	6.85325	6.49634	6.3241	6.12535	5.55088	6.63834	6.20861	6.26838	6.5024	6.34632
Male_MEL_MEL_M1	5.91908	5.82464	5.72678	5.92138	5.56753	5.7562	4.84127	5.56811	6.25618	5.95569	5.55945	5.65031	5.64997	5.70274	5.95502	5.8109	5.52844	6.0257	5.70687	5.79753	5.85035	5.6289	5.48908	5.52149	6.06498	5.64686	5.81872	5.54509	5.30985	5.67378	5.77036	5.55274	5.56738	5.44057	5.63926	5.43165	6.19299	5.72341	6.53685	5.51529	5.75567	5.68197	5.59806	5.49995	5.41721	5.42407	5.49749	5.32974	5.12083	5.87135	5.8924	5.71144	5.32013	5.58618	5.41056	6.07295	5.37238	7.2126	6.6114	7.33696	6.84524	6.86713	7.12607	7.11819	5.74123	6.90333	7.1504	7.07602	7.41598	6.65628
Male_MEL_MEL_M2	6.4342	6.20354	6.7056	6.51442	6.24412	6.55206	6.24852	6.58549	6.13831	6.27912	6.65545	6.43123	6.58132	6.62643	6.63149	6.65651	6.43143	6.35341	6.30237	6.38258	6.07247	6.27569	6.27094	6.40823	6.15187	6.48324	6.30393	6.61953	6.5831	5.99805	6.39458	6.53265	5.9637	5.78571	6.18965	5.95958	6.23676	5.73149	6.09747	5.99948	6.31053	6.47265	6.48795	6.30021	6.31975	6.57985	6.39357	6.20732	5.85915	6.11111	6.23714	6.40074	6.39361	6.24571	6.75775	6.37421	6.60734	4.58339	5.17106	4.94023	5.39217	5.13538	4.63855	4.33792	5.16014	4.89336	4.77945	4.56556	4.85925	4.6412
Male_Mac-DC_Mac-DC_M1	5.13576	5.54566	4.64203	4.75522	5.60061	5.26674	5.01194	5.40823	5.22598	5.00883	5.10575	4.74231	4.67903	5.53277	5.06392	4.86198	5.39617	5.08757	5.03915	4.76992	5.24484	5.18268	4.89641	4.46965	5.21599	5.10411	5.55862	5.22769	4.03596	5.35959	5.43684	5.37544	5.72855	5.53376	5.68026	5.66761	5.24728	5.90599	5.0694	5.40226	4.65945	5.22829	5.36502	4.63742	4.46894	5.27276	5.28185	5.7252	4.71579	5.09372	4.14545	5.15198	5.08164	5.21914	5.17289	5.10175	4.5893	5.42437	6.15348	6.67287	6.23279	6.58103	5.72054	5.91942	6.54876	6.32036	6.42506	5.99484	6.43517	6.26222
Male_Pc-vSMC_Pc-vSMC_M1	5.05714	5.38597	5.37038	6.53476	5.54636	5.35418	6.31171	5.26828	5.36014	5.27597	5.86503	5.66779	5.43435	6.67657	6.14308	6.08207	5.41333	5.46607	4.96536	5.34551	5.39757	5.24198	5.64685	5.5555	4.71171	5.09185	5.25998	4.80082	5.16969	5.11668	4.88891	5.80898	6.54235	6.73542	6.59661	6.92263	5.45867	6.5963	5.79014	6.48651	5.46409	5.15948	5.22859	4.9426	4.07183	4.87554	4.96131	6.02926	5.04729	4.99122	3.74099	4.3642	4.93789	5.89778	5.06497	5.42781	3.79458	6.91948	6.97507	7.0568	6.56182	7.02496	7.52155	6.71041	7.05972	8.11632	8.18412	7.14456	7.22215	7.63698
Male_Schwann_Schwann_M1	5.27594	5.1344	5.3423	5.26669	4.75197	5.16348	5.62772	5.48117	5.70511	5.36088	5.23334	5.25128	5.16564	4.9373	5.24722	5.20641	5.3004	4.46811	4.84876	5.18315	4.2071	4.84554	4.96609	4.66335	4.69549	4.87783	4.82721	5.41997	5.00007	5.36685	4.94385	5.16566	5.07559	4.36915	5.31581	5.33034	5.01026	5.07586	5.10244	4.88255	4.47815	5.23045	5.47738	4.95802	5.12347	4.62374	5.37917	5.16739	5.03516	5.23122	4.60042	4.72821	5.39993	4.12754	5.39029	5.15998	5.09537	0	6.36831	5.60175	5.41156	5.57874	4.60119	3.31834	6.42663	5.57746	5.86696	4.19129	5.04147	5.8146
Male_Schwann_Schwann_M2	5.42863	4.83628	5.54971	5.28324	4.36765	5.27934	4.89764	5.27748	5.11335	5.28078	5.31988	5.37332	5.1097	4.98258	5.34655	5.13953	5.18809	4.15329	4.29832	5.27398	4.02304	4.89153	4.68757	4.6267	4.85752	4.80587	4.88395	5.41084	5.15984	4.8429	4.64617	5.18925	4.73751	4.07977	5.12328	4.90387	5.00849	4.73725	4.96484	4.87197	4.14003	4.97783	5.22019	4.9601	5.06233	4.52312	4.71575	4.9304	4.92905	4.81523	4.67635	4.0441	4.99733	3.61164	5.30714	5.03454	5.08049	0	4.95747	4.72512	4.41335	4.50295	3.88168	3.04527	5.1615	4.42464	4.69197	3.10135	4.23251	4.63072
Male_Schwann_Schwann_M3	5.1052	4.74678	4.75163	5.03725	4.99907	5.12624	5.16355	5.00937	4.93301	5.17581	5.00794	4.86534	5.12004	5.47627	5.1183	5.19703	4.97649	4.60618	5.03459	5.00726	4.69839	4.63884	4.88329	5.34552	4.46287	4.69111	4.86178	5.14293	5.3792	4.93005	5.04793	4.0886	4.37202	4.76796	4.81165	5.0272	4.95519	5.04298	4.7981	4.92159	4.95771	5.19485	5.16781	4.18806	5.25488	4.91411	4.9991	4.24235	4.9616	4.75754	4.84323	5.61231	4.91257	4.23497	5.17412	5.14823	5.24427	0	5.50299	5.16557	4.86761	5.39666	4.60231	4.74639	5.46008	5.6769	5.42038	4.44474	4.69857	5.21414
Male_Schwann_Schwann_M4	4.72347	4.82837	4.82058	4.64704	4.63098	4.83416	4.52151	4.55212	4.48501	4.63267	4.80397	4.75271	4.84548	4.83889	4.83473	4.79951	4.58924	4.61435	4.7052	4.95512	5.00062	4.5046	4.91581	4.92154	5.03009	4.79105	4.91469	4.56321	4.81014	4.70844	5.00691	4.63387	4.70021	4.73359	4.81472	4.95548	4.82364	4.96772	4.8322	4.8951	4.91527	4.76865	4.68619	3.9461	4.85739	4.872	4.5245	4.72718	4.78355	4.84692	4.87775	4.81856	4.81813	4.61239	4.66641	4.72764	4.73859	0	4.68477	4.84212	4.77147	4.87464	5.21424	4.09277	4.81029	4.88827	4.9196	4.29697	4.79981	4.77485
Male_Schwann_Schwann_M5	5.18506	5.53495	5.54708	5.13193	5.07031	5.17037	4.82808	5.03256	5.36231	5.50823	5.20514	4.63689	5.41065	4.95621	5.11009	5.09184	5.43794	4.99725	5.71785	5.29849	5.22453	5.00345	5.88141	4.95593	5.27546	5.18699	5.34007	5.09644	5.03662	5.68563	5.21314	5.44659	5.03092	4.99733	5.27958	5.04159	5.04798	5.22626	5.09305	5.23695	5.43548	5.28658	4.94258	4.51761	4.75158	4.83639	5.47632	6.00293	5.29227	5.47616	4.95752	4.96371	5.64569	5.19076	5.28969	5.17204	4.87042	0	5.22022	5.44677	5.95311	5.65106	4.80486	3.82161	5.17323	5.44537	5.4278	4.01995	5.57431	5.73586
