Gene_a	Celltype_a	Gene_b	Celltype_b
FB	BMP2	MEL	BMPR1A	
FB	BMP2	MEL	BMPR1B	
FB	BMP2	MEL	BMPR2	
FB	BMP2	Mast	BMPR1A	
FB	BMP2	Mast	BMPR2	
FB	BMP2	Pc	BMPR1A	
FB	BMP2	Pc	BMPR2	
FB	BMP2	SGC	BMPR1A	
FB	BMP2	SGC	BMPR2	
FB	BMP2	Schwann	ACVR2A	
FB	BMP2	Schwann	BMPR1A	
FB	BMP2	Schwann	BMPR1B	
FB	BMP2	Schwann	BMPR2	
FB	BMP2	Sebocyte	BMPR1A	
FB	BMP2	Sebocyte	BMPR2	
FB	BMP4	FB	ACVR2A	
FB	BMP4	FB	BMPR1A	
FB	BMP4	FB	BMPR2	
FB	BMP4	HFC	ACVR2A	
FB	BMP4	HFC	BMPR1A	
FB	BMP4	HFC	BMPR2	
FB	BMP4	KC	ACVR2A	
FB	BMP4	KC	BMPR1A	
FB	BMP4	KC	BMPR1B	
FB	BMP4	KC	BMPR2	
FB	BMP4	Channel	ACVR2A	
FB	BMP4	Channel	BMPR1A	
FB	BMP4	Channel	BMPR2	
FB	BMP4	LC	ACVR2A	
FB	BMP4	LC	BMPR1A	
FB	BMP4	LC	BMPR2	
FB	BMP4	MEC	ACVR2A	
FB	BMP4	MEC	BMPR1A	
FB	BMP4	MEC	BMPR1B	
FB	BMP4	MEC	BMPR2	
FB	BMP4	MEL	ACVR2A	
FB	BMP4	MEL	BMPR1A	
FB	BMP4	MEL	BMPR1B	
FB	BMP4	MEL	BMPR2	
FB	BMP4	Mac	ACVR2A	
FB	BMP4	Mac	BMPR1A	
FB	BMP4	Mac	BMPR2	
FB	BMP4	Mast	BMPR1A	
FB	BMP4	Mast	BMPR2	
FB	BMP4	Pc	ACVR2A	
FB	BMP4	Pc	BMPR1A	
FB	BMP4	Pc	BMPR1B	
FB	BMP4	Pc	BMPR2	
FB	BMP4	SGC	ACVR2A	
FB	BMP4	SGC	BMPR1A	
FB	BMP4	SGC	BMPR1B	
FB	BMP4	SGC	BMPR2	
FB	BMP4	Schwann	ACVR2A	
FB	BMP4	Schwann	BMPR1A	
FB	BMP4	Schwann	BMPR1B	
FB	BMP4	Schwann	BMPR2	
